,date,quantidade,isPartial,habilidades
11,2022-02-27,61,False,Estatística
12,2022-03-06,81,False,Estatística
13,2022-03-13,76,False,Estatística
14,2022-03-20,75,False,Estatística
15,2022-03-27,82,False,Estatística
16,2022-04-03,86,False,Estatística
17,2022-04-10,70,False,Estatística
18,2022-04-17,69,False,Estatística
19,2022-04-24,82,False,Estatística
20,2022-05-01,85,False,Estatística
21,2022-05-08,78,False,Estatística
22,2022-05-15,80,False,Estatística
23,2022-05-22,73,False,Estatística
24,2022-05-29,80,False,Estatística
25,2022-06-05,79,False,Estatística
26,2022-06-12,73,False,Estatística
27,2022-06-19,80,False,Estatística
28,2022-06-26,70,False,Estatística
29,2022-07-03,59,False,Estatística
30,2022-07-10,58,False,Estatística
31,2022-07-17,50,False,Estatística
32,2022-07-24,51,False,Estatística
33,2022-07-31,62,False,Estatística
34,2022-08-07,67,False,Estatística
35,2022-08-14,70,False,Estatística
36,2022-08-21,81,False,Estatística
37,2022-08-28,78,False,Estatística
38,2022-09-04,67,False,Estatística
39,2022-09-11,78,False,Estatística
40,2022-09-18,77,False,Estatística
41,2022-09-25,84,False,Estatística
42,2022-10-02,91,False,Estatística
43,2022-10-09,70,False,Estatística
44,2022-10-16,88,False,Estatística
45,2022-10-23,82,False,Estatística
46,2022-10-30,76,False,Estatística
47,2022-11-06,88,False,Estatística
48,2022-11-13,85,False,Estatística
49,2022-11-20,100,False,Estatística
50,2022-11-27,98,False,Estatística
0,2021-12-12,75,False,Documentação
1,2021-12-19,50,False,Documentação
2,2021-12-26,42,False,Documentação
3,2022-01-02,81,False,Documentação
4,2022-01-09,83,False,Documentação
5,2022-01-16,75,False,Documentação
6,2022-01-23,79,False,Documentação
7,2022-01-30,87,False,Documentação
8,2022-02-06,95,False,Documentação
9,2022-02-13,91,False,Documentação
10,2022-02-20,97,False,Documentação
11,2022-02-27,97,False,Documentação
12,2022-03-06,97,False,Documentação
13,2022-03-13,100,False,Documentação
14,2022-03-20,99,False,Documentação
15,2022-03-27,96,False,Documentação
16,2022-04-03,93,False,Documentação
17,2022-04-10,85,False,Documentação
18,2022-04-17,76,False,Documentação
19,2022-04-24,94,False,Documentação
20,2022-05-01,85,False,Documentação
21,2022-05-08,79,False,Documentação
22,2022-05-15,89,False,Documentação
23,2022-05-22,91,False,Documentação
24,2022-05-29,89,False,Documentação
25,2022-06-05,85,False,Documentação
26,2022-06-12,73,False,Documentação
27,2022-06-19,86,False,Documentação
28,2022-06-26,88,False,Documentação
29,2022-07-03,83,False,Documentação
30,2022-07-10,85,False,Documentação
31,2022-07-17,78,False,Documentação
32,2022-07-24,83,False,Documentação
33,2022-07-31,81,False,Documentação
34,2022-08-07,84,False,Documentação
35,2022-08-14,86,False,Documentação
36,2022-08-21,85,False,Documentação
37,2022-08-28,84,False,Documentação
38,2022-09-04,71,False,Documentação
39,2022-09-11,81,False,Documentação
40,2022-09-18,83,False,Documentação
41,2022-09-25,82,False,Documentação
42,2022-10-02,69,False,Documentação
43,2022-10-09,71,False,Documentação
44,2022-10-16,76,False,Documentação
45,2022-10-23,80,False,Documentação
46,2022-10-30,62,False,Documentação
47,2022-11-06,70,False,Documentação
48,2022-11-13,65,False,Documentação
49,2022-11-20,70,False,Documentação
50,2022-11-27,62,False,Documentação
0,2021-12-12,44,False,Inovação
1,2021-12-19,29,False,Inovação
2,2021-12-26,23,False,Inovação
3,2022-01-02,36,False,Inovação
4,2022-01-09,42,False,Inovação
5,2022-01-16,37,False,Inovação
6,2022-01-23,46,False,Inovação
7,2022-01-30,46,False,Inovação
8,2022-02-06,59,False,Inovação
9,2022-02-13,67,False,Inovação
10,2022-02-20,67,False,Inovação
11,2022-02-27,58,False,Inovação
12,2022-03-06,84,False,Inovação
13,2022-03-13,83,False,Inovação
14,2022-03-20,81,False,Inovação
15,2022-03-27,85,False,Inovação
16,2022-04-03,86,False,Inovação
17,2022-04-10,64,False,Inovação
18,2022-04-17,77,False,Inovação
19,2022-04-24,83,False,Inovação
20,2022-05-01,100,False,Inovação
21,2022-05-08,73,False,Inovação
22,2022-05-15,72,False,Inovação
23,2022-05-22,80,False,Inovação
24,2022-05-29,96,False,Inovação
25,2022-06-05,81,False,Inovação
26,2022-06-12,64,False,Inovação
27,2022-06-19,70,False,Inovação
28,2022-06-26,66,False,Inovação
29,2022-07-03,57,False,Inovação
30,2022-07-10,51,False,Inovação
31,2022-07-17,48,False,Inovação
32,2022-07-24,58,False,Inovação
33,2022-07-31,60,False,Inovação
34,2022-08-07,66,False,Inovação
