,Unnamed: 0,value,formattedValue,hasData,link,topic_mid,topic_title,topic_type,ferramenta
1,1,11,11,True,/trends/explore?q=/m/04sv4&date=today+12-m&geo=BR,/m/04sv4,Microsoft,Empresa,Azure
2,2,10,10,True,/trends/explore?q=/m/02rvgkm&date=today+12-m&geo=BR,/m/02rvgkm,Azure DevOps Server,Software,Azure
3,3,9,9,True,/trends/explore?q=/m/0c3tq11&date=today+12-m&geo=BR,/m/0c3tq11,DevOps,Assunto,Azure
4,4,4,4,True,/trends/explore?q=/m/026sq&date=today+12-m&geo=BR,/m/026sq,Dados,Assunto,Azure
5,5,4,4,True,/trends/explore?q=/m/011bm&date=today+12-m&geo=BR,/m/011bm,Active Directory,Software,Azure
6,6,3,3,True,/trends/explore?q=/m/02y_9m3&date=today+12-m&geo=BR,/m/02y_9m3,Computação em nuvem,Assunto,Azure
7,7,3,3,True,/trends/explore?q=/m/05nrgx&date=today+12-m&geo=BR,/m/05nrgx,Amazon Web Services,Assunto,Azure
8,8,3,3,True,/trends/explore?q=/m/09l8g&date=today+12-m&geo=BR,/m/09l8g,Voz humana,Assunto,Azure
9,9,3,3,True,/trends/explore?q=/m/075st&date=today+12-m&geo=BR,/m/075st,SQL,Linguagem de programação,Azure
10,10,2,2,True,/trends/explore?q=/m/02bj4k&date=today+12-m&geo=BR,/m/02bj4k,Software aplicativo,Assunto,Azure
11,11,2,2,True,/trends/explore?q=/m/07yf2&date=today+12-m&geo=BR,/m/07yf2,Máquina virtual,Assunto,Azure
12,12,2,2,True,/trends/explore?q=/m/0z5n&date=today+12-m&geo=BR,/m/0z5n,Interface de programação de aplicações,Assunto,Azure
13,13,2,2,True,/trends/explore?q=/m/0qt178q&date=today+12-m&geo=BR,/m/0qt178q,Microsoft,Assunto,Azure
14,14,2,2,True,/trends/explore?q=/m/02v_93z&date=today+12-m&geo=BR,/m/02v_93z,Função,Matemática,Azure
15,15,2,2,True,/trends/explore?q=/m/03wbldj&date=today+12-m&geo=BR,/m/03wbldj,Microsoft Azure SQL Database,Software,Azure
16,16,2,2,True,/trends/explore?q=/m/02bc6&date=today+12-m&geo=BR,/m/02bc6,Banco de dados,Gênero do formato do arquivo,Azure
17,17,2,2,True,/trends/explore?q=/g/120x72xh&date=today+12-m&geo=BR,/g/120x72xh,Servidor,Natureza de software,Azure
18,18,2,2,True,/trends/explore?q=/m/04r_8&date=today+12-m&geo=BR,/m/04r_8,Microsoft Windows,Software,Azure
19,19,2,2,True,/trends/explore?q=/m/011b7yqg&date=today+12-m&geo=BR,/m/011b7yqg,Certificação,Assunto,Azure
