,geoname,geocode,quantidade,ferramenta
21,Rondônia,BR-RO,20,Salesforce
22,Roraima,BR-RR,0,Salesforce
23,Santa Catarina,BR-SC,36,Salesforce
24,Sergipe,BR-SE,28,Salesforce
25,São Paulo,BR-SP,100,Salesforce
26,Tocantins,BR-TO,9,Salesforce
0,Acre,BR-AC,38,Linux
1,Alagoas,BR-AL,46,Linux
2,Amapá,BR-AP,51,Linux
3,Amazonas,BR-AM,50,Linux
4,Bahia,BR-BA,40,Linux
5,Ceará,BR-CE,67,Linux
6,Distrito Federal,BR-DF,100,Linux
7,Espírito Santo,BR-ES,42,Linux
8,Goiás,BR-GO,48,Linux
9,Maranhão,BR-MA,37,Linux
10,Mato Grosso,BR-MT,35,Linux
11,Mato Grosso do Sul,BR-MS,43,Linux
12,Minas Gerais,BR-MG,55,Linux
13,Paraná,BR-PR,62,Linux
14,Paraíba,BR-PB,57,Linux
15,Pará,BR-PA,41,Linux
16,Pernambuco,BR-PE,55,Linux
17,Piauí,BR-PI,48,Linux
18,Rio Grande do Norte,BR-RN,59,Linux
19,Rio Grande do Sul,BR-RS,62,Linux
20,Rio de Janeiro,BR-RJ,54,Linux
21,Rondônia,BR-RO,49,Linux
22,Roraima,BR-RR,45,Linux
23,Santa Catarina,BR-SC,68,Linux
24,Sergipe,BR-SE,51,Linux
25,São Paulo,BR-SP,65,Linux
26,Tocantins,BR-TO,47,Linux
