,date,quantidade,isPartial,ferramenta
42,2022-10-02,72,False,SAP
43,2022-10-09,73,False,SAP
44,2022-10-16,92,False,SAP
45,2022-10-23,79,False,SAP
46,2022-10-30,74,False,SAP
47,2022-11-06,85,False,SAP
48,2022-11-13,75,False,SAP
49,2022-11-20,70,False,SAP
50,2022-11-27,76,False,SAP
0,2021-12-12,50,False,Python
1,2021-12-19,45,False,Python
2,2021-12-26,49,False,Python
3,2022-01-02,72,False,Python
4,2022-01-09,83,False,Python
5,2022-01-16,75,False,Python
6,2022-01-23,77,False,Python
7,2022-01-30,77,False,Python
8,2022-02-06,85,False,Python
9,2022-02-13,95,False,Python
10,2022-02-20,85,False,Python
11,2022-02-27,80,False,Python
12,2022-03-06,94,False,Python
13,2022-03-13,91,False,Python
14,2022-03-20,93,False,Python
15,2022-03-27,98,False,Python
16,2022-04-03,98,False,Python
17,2022-04-10,93,False,Python
18,2022-04-17,96,False,Python
19,2022-04-24,100,False,Python
20,2022-05-01,99,False,Python
21,2022-05-08,98,False,Python
22,2022-05-15,93,False,Python
23,2022-05-22,89,False,Python
24,2022-05-29,86,False,Python
25,2022-06-05,89,False,Python
26,2022-06-12,81,False,Python
27,2022-06-19,87,False,Python
28,2022-06-26,87,False,Python
29,2022-07-03,82,False,Python
30,2022-07-10,83,False,Python
31,2022-07-17,86,False,Python
32,2022-07-24,88,False,Python
33,2022-07-31,81,False,Python
34,2022-08-07,86,False,Python
35,2022-08-14,90,False,Python
36,2022-08-21,97,False,Python
37,2022-08-28,91,False,Python
38,2022-09-04,85,False,Python
39,2022-09-11,88,False,Python
40,2022-09-18,98,False,Python
41,2022-09-25,100,False,Python
42,2022-10-02,82,False,Python
43,2022-10-09,87,False,Python
44,2022-10-16,87,False,Python
45,2022-10-23,93,False,Python
46,2022-10-30,86,False,Python
47,2022-11-06,86,False,Python
48,2022-11-13,90,False,Python
49,2022-11-20,82,False,Python
50,2022-11-27,85,False,Python
0,2021-12-12,45,False,Cloud
1,2021-12-19,41,False,Cloud
2,2021-12-26,39,False,Cloud
3,2022-01-02,48,False,Cloud
4,2022-01-09,53,False,Cloud
5,2022-01-16,53,False,Cloud
6,2022-01-23,50,False,Cloud
7,2022-01-30,54,False,Cloud
8,2022-02-06,55,False,Cloud
9,2022-02-13,57,False,Cloud
10,2022-02-20,53,False,Cloud
11,2022-02-27,55,False,Cloud
12,2022-03-06,53,False,Cloud
13,2022-03-13,54,False,Cloud
14,2022-03-20,63,False,Cloud
15,2022-03-27,54,False,Cloud
16,2022-04-03,52,False,Cloud
17,2022-04-10,52,False,Cloud
18,2022-04-17,56,False,Cloud
19,2022-04-24,54,False,Cloud
